iter	Passed	Remaining
888	1130	141
889	1131	139
890	1132	138
891	1133	137
892	1135	136
893	1136	134
894	1137	133
895	1138	132
896	1139	130
897	1140	129
898	1141	128
899	1142	126
900	1143	125
901	1144	124
902	1145	123
903	1146	121
904	1147	120
905	1149	119
906	1150	117
907	1151	116
908	1152	115
909	1153	114
910	1154	112
911	1155	111
912	1156	110
913	1157	108
914	1158	107
915	1159	106
916	1160	105
917	1161	103
918	1162	102
919	1163	101
920	1164	99
921	1165	98
922	1166	97
923	1167	96
924	1168	94
925	1170	93
926	1171	92
927	1172	90
928	1173	89
929	1174	88
930	1175	87
931	1176	85
932	1177	84
933	1178	83
934	1179	81
935	1180	80
936	1181	79
937	1182	78
938	1183	76
939	1184	75
940	1185	74
941	1186	73
942	1187	71
943	1188	70
944	1189	69
945	1190	67
946	1192	66
947	1193	65
948	1194	64
949	1195	62
950	1196	61
951	1197	60
952	1198	59
953	1199	57
954	1200	56
955	1201	55
956	1202	54
957	1203	52
958	1204	51
959	1205	50
960	1206	48
961	1207	47
962	1208	46
963	1209	45
964	1210	43
965	1211	42
966	1212	41
967	1213	40
968	1214	38
969	1216	37
970	1217	36
971	1218	35
972	1219	33
973	1220	32
974	1221	31
975	1222	30
976	1223	28
977	1224	27
978	1225	26
979	1226	25
980	1227	23
981	1228	22
982	1229	21
983	1231	20
984	1232	18
985	1233	17
986	1234	16
987	1235	15
988	1236	13
989	1237	12
990	1238	11
991	1239	9
992	1240	8
993	1241	7
994	1242	6
995	1243	4
996	1244	3
997	1245	2
998	1246	1
999	1247	0
